Department,JobRole,AgeGroup,SalaryGroup,EstimatedMonthlySalary,BusinessTravel,OverTime,Attrition,Gender
Research & Development,Laboratory Technician,26-35,Low,28110,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,36330,Non-Travel,Yes,No,Male
Sales,Sales Executive,46-60,Medium,41630,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,21320,Travel Rarely,Yes,Yes,Female
Research & Development,Manufacturing Director,46-60,Very High,139730,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,26840,Travel Frequently,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,108450,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,18-25,Medium,43770,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,37430,Travel Rarely,Yes,Yes,Male
Research & Development,Manufacturing Director,26-35,Medium,41480,Travel Frequently,No,No,Female
Research & Development,Research Scientist,18-25,Low,10510,Non-Travel,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,107390,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,26-35,Very High,103880,Travel Rarely,Yes,No,Female
Research & Development,Research Director,26-35,Very High,114160,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,18-25,Low,26000,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,26-35,Low,24220,Travel Frequently,No,Yes,Female
Research & Development,Manufacturing Director,26-35,High,54720,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Low,24510,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Medium,42400,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,109990,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,High,50030,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,Very High,127420,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,Medium,42270,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,39170,Travel Rarely,No,No,Male
Sales,Manager,36-45,Very High,183030,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,23800,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,137260,Travel Rarely,Yes,No,Female
Research & Development,Healthcare Representative,36-45,Medium,47770,Travel Rarely,No,Yes,Female
Research & Development,Healthcare Representative,46-60,High,63850,Travel Frequently,Yes,No,Male
Research & Development,Research Director,36-45,Very High,199730,Non-Travel,No,No,Female
Sales,Sales Executive,36-45,High,68610,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,High,49690,Non-Travel,No,Yes,Male
Sales,Manager,46-60,Very High,198450,Travel Rarely,No,Yes,Female
Sales,Sales Executive,36-45,Very High,133200,Travel Rarely,Yes,No,Female
Sales,Sales Executive,46-60,High,63470,Non-Travel,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,27430,Travel Rarely,No,Yes,Female
Research & Development,Manufacturing Director,36-45,Very High,108800,Travel Frequently,Yes,No,Female
Sales,Sales Representative,26-35,Low,23420,Non-Travel,No,No,Female
Sales,Manager,36-45,Very High,176500,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,40250,Non-Travel,No,No,Female
Sales,Sales Executive,26-35,Very High,97250,Travel Rarely,No,No,Male
Sales,Manager,46-60,Very High,119040,Travel Rarely,Yes,No,Male
Human Resources,Human Resources,36-45,Low,21770,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,High,75250,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,48340,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,26-35,Low,20420,Travel Frequently,Yes,Yes,Male
Sales,Sales Representative,26-35,Low,22200,Travel Rarely,Yes,No,Female
Sales,Sales Representative,26-35,Low,10520,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Low,28210,Travel Frequently,No,No,Male
Research & Development,Research Director,46-60,Very High,192370,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,36-45,Medium,41070,Travel Rarely,No,No,Female
Sales,Sales Executive,36-45,Very High,83960,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,20070,Travel Frequently,No,No,Female
Research & Development,Research Director,46-60,Very High,196270,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,Very High,106860,Travel Rarely,No,No,Female
Research & Development,Research Scientist,46-60,Medium,29420,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,36-45,Very High,88580,Travel Rarely,No,No,Female
Research & Development,Manager,46-60,Very High,167560,Non-Travel,No,No,Male
Sales,Sales Executive,36-45,Very High,107980,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,23230,Travel Frequently,Yes,Yes,Female
Research & Development,Laboratory Technician,18-25,Low,14160,Travel Rarely,No,Yes,Female
Research & Development,Research Scientist,46-60,Medium,46150,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,46-60,Low,24610,Travel Rarely,Yes,Yes,Male
Research & Development,Healthcare Representative,26-35,Very High,87220,Non-Travel,No,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,39550,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Very High,99570,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,33760,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,Very High,88230,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,Very High,103220,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,46210,Non-Travel,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,109760,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Medium,36600,Travel Rarely,No,No,Female
Human Resources,Human Resources,36-45,Very High,104820,Travel Rarely,No,Yes,Male
Research & Development,Healthcare Representative,26-35,High,71190,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,95820,Travel Rarely,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Medium,45080,Travel Frequently,No,Yes,Female
Research & Development,Laboratory Technician,26-35,Low,22070,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,77560,Travel Frequently,No,No,Male
Sales,Sales Executive,36-45,High,66940,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,18-25,Medium,36910,Travel Rarely,Yes,Yes,Male
Research & Development,Laboratory Technician,26-35,Low,23770,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,26-35,Low,23130,Travel Rarely,Yes,Yes,Male
Research & Development,Manager,36-45,Very High,176650,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,25960,Travel Frequently,No,Yes,Male
Sales,Sales Executive,46-60,Medium,47280,Travel Frequently,Yes,Yes,Male
Sales,Sales Executive,26-35,Medium,43020,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Medium,29790,Non-Travel,No,No,Male
Research & Development,Manager,46-60,Very High,168850,Non-Travel,No,No,Male
Sales,Sales Executive,36-45,High,55930,Non-Travel,No,No,Female
Research & Development,Healthcare Representative,46-60,Very High,104450,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Very High,87400,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,25140,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,High,76550,Travel Rarely,No,No,Female
Sales,Manager,46-60,Very High,174650,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,73510,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,36-45,Very High,108200,Travel Frequently,No,No,Female
Research & Development,Healthcare Representative,36-45,Very High,121690,Travel Frequently,No,Yes,Male
Research & Development,Research Director,36-45,Very High,196260,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Low,20700,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,36-45,High,67820,Non-Travel,No,No,Male
Research & Development,Manufacturing Director,36-45,High,77790,Non-Travel,No,No,Male
Sales,Sales Representative,26-35,Low,27910,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Medium,32010,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,49680,Travel Frequently,No,No,Male
Sales,Sales Executive,46-60,Very High,131200,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,Medium,40330,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Medium,32910,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,42720,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,High,50560,Travel Rarely,Yes,No,Male
Human Resources,Human Resources,36-45,Low,28440,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,27030,Travel Frequently,Yes,No,Male
Research & Development,Laboratory Technician,18-25,Low,19040,Non-Travel,No,Yes,Male
Sales,Sales Executive,26-35,High,82240,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Medium,47660,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,26100,Travel Frequently,No,Yes,Male
Research & Development,Healthcare Representative,36-45,High,57310,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,25390,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,57140,Travel Rarely,No,No,Female
Human Resources,Human Resources,26-35,Medium,43230,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,73360,Travel Rarely,No,Yes,Female
Research & Development,Research Director,36-45,Very High,134990,Travel Frequently,No,No,Female
Sales,Sales Executive,36-45,Very High,137580,Travel Frequently,Yes,Yes,Male
Sales,Sales Executive,36-45,High,51550,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,22580,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,35970,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,25150,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,26-35,Medium,44200,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,65780,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,44220,Travel Frequently,Yes,No,Female
Research & Development,Manufacturing Director,26-35,Very High,102740,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,53430,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,26-35,Low,23760,Travel Frequently,No,No,Male
Sales,Sales Executive,36-45,High,53460,Travel Rarely,No,Yes,Female
Sales,Sales Representative,26-35,Low,28270,Non-Travel,No,No,Female
Research & Development,Manager,46-60,Very High,199430,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,31310,Travel Rarely,No,No,Female
Research & Development,Research Scientist,18-25,Low,25520,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,44770,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,High,64740,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,18-25,Medium,30330,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,29360,Travel Rarely,Yes,Yes,Male
Research & Development,Manager,46-60,Very High,186060,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,21680,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,18-25,Low,28530,Travel Frequently,Yes,Yes,Male
Sales,Manager,46-60,Very High,170480,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Low,22900,Non-Travel,No,No,Male
Human Resources,Human Resources,26-35,Medium,36000,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Low,21070,Non-Travel,No,Yes,Male
Sales,Sales Executive,26-35,Medium,41150,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Medium,43270,Travel Frequently,No,No,Male
Research & Development,Manager,46-60,Very High,178560,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,31960,Travel Rarely,No,No,Male
Research & Development,Research Director,46-60,Very High,190810,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,89660,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,18-25,Low,22100,Travel Rarely,No,Yes,Female
Sales,Sales Executive,26-35,Medium,45390,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,36-45,Low,27410,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,34910,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,45410,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,26780,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,High,73790,Travel Rarely,No,No,Male
Human Resources,Human Resources,36-45,High,62720,Non-Travel,No,No,Male
Sales,Sales Executive,46-60,High,52200,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Low,27430,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,High,49980,Travel Frequently,Yes,No,Female
Research & Development,Manufacturing Director,36-45,Very High,102520,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,27810,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,68520,Travel Rarely,No,No,Female
Sales,Sales Executive,18-25,High,49500,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Medium,35790,Travel Rarely,Yes,No,Male
Research & Development,Research Director,36-45,Very High,131910,Travel Frequently,Yes,No,Female
Sales,Sales Executive,26-35,Very High,103770,Non-Travel,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,22350,Travel Rarely,Yes,No,Male
Research & Development,Manufacturing Director,46-60,Very High,105020,Travel Frequently,No,No,Female
Research & Development,Research Scientist,36-45,Low,20110,Travel Rarely,No,No,Female
Research & Development,Research Scientist,18-25,Low,18590,Non-Travel,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Medium,37600,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,177790,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,68330,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,26-35,High,68120,Travel Rarely,No,No,Female
Sales,Sales Executive,46-60,High,51710,Travel Rarely,No,No,Female
Research & Development,Research Director,36-45,Very High,197400,Travel Rarely,No,No,Male
Research & Development,Manager,46-60,Very High,187110,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,36920,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,46-60,Low,25590,Travel Rarely,No,No,Male
Research & Development,Research Scientist,26-35,Low,25170,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,26-35,High,66230,Travel Rarely,Yes,No,Male
Research & Development,Research Director,46-60,Very High,182650,Travel Rarely,No,No,Male
Research & Development,Research Director,26-35,Very High,161240,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Low,25850,Travel Rarely,No,No,Female
Sales,Manager,36-45,Very High,182130,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,83800,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,18-25,Medium,29940,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,18-25,Low,12230,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Low,11180,Travel Frequently,Yes,Yes,Male
Research & Development,Research Scientist,26-35,Low,28750,Travel Rarely,Yes,No,Male
Sales,Manager,36-45,Very High,188240,Travel Rarely,Yes,Yes,Female
Research & Development,Healthcare Representative,46-60,Very High,135770,Non-Travel,Yes,No,Male
Research & Development,Laboratory Technician,18-25,Low,26250,Travel Frequently,No,Yes,Female
Sales,Manager,46-60,Very High,187890,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,45380,Travel Rarely,Yes,No,Female
Sales,Manager,46-60,Very High,198470,Travel Frequently,Yes,No,Male
Research & Development,Manufacturing Director,46-60,Very High,105120,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,44440,Travel Frequently,No,No,Female
Research & Development,Laboratory Technician,26-35,Low,21540,Travel Frequently,Yes,No,Male
Research & Development,Manager,36-45,Very High,191900,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,Medium,44900,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Medium,35060,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,36-45,Low,23720,Travel Rarely,Yes,No,Female
Sales,Sales Executive,36-45,Very High,102310,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,36-45,High,54100,Travel Rarely,Yes,No,Female
Research & Development,Healthcare Representative,36-45,High,79780,Travel Rarely,No,Yes,Female
Research & Development,Laboratory Technician,26-35,Medium,38670,Travel Frequently,Yes,No,Male
Research & Development,Laboratory Technician,46-60,Low,28380,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,26-35,Medium,46950,Non-Travel,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Medium,33390,Travel Rarely,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Low,20800,Travel Rarely,No,No,Male
Research & Development,Research Scientist,18-25,Low,20960,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,62090,Travel Rarely,No,No,Male
Research & Development,Manager,36-45,Very High,180610,Travel Frequently,No,No,Female
Research & Development,Manager,36-45,Very High,171230,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,46-60,Low,23720,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,48830,Travel Rarely,No,Yes,Male
Research & Development,Research Scientist,36-45,Medium,39040,Travel Rarely,No,Yes,Male
Research & Development,Laboratory Technician,26-35,Medium,46270,Travel Rarely,No,No,Female
Research & Development,Healthcare Representative,36-45,High,70940,Travel Rarely,No,No,Female
Human Resources,Human Resources,46-60,Medium,34230,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,High,66740,Non-Travel,No,No,Female
Research & Development,Research Director,46-60,Very High,168800,Travel Rarely,Yes,No,Female
Sales,Sales Executive,36-45,Very High,90940,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,46-60,Very High,84460,Travel Rarely,Yes,Yes,Male
Research & Development,Manager,26-35,Very High,119160,Travel Rarely,Yes,No,Female
Research & Development,Manufacturing Director,36-45,Medium,45340,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Very High,98520,Non-Travel,Yes,No,Female
Sales,Sales Executive,36-45,High,61510,Non-Travel,No,No,Male
Sales,Sales Representative,26-35,Low,23020,Travel Frequently,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,23620,Travel Rarely,No,Yes,Male
Research & Development,Manager,36-45,Very High,178610,Non-Travel,Yes,No,Male
Research & Development,Manager,46-60,Very High,191870,Travel Rarely,No,No,Female
Human Resources,Manager,46-60,Very High,197170,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,35440,Non-Travel,No,No,Male
Research & Development,Healthcare Representative,26-35,Very High,85000,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,46610,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Medium,41030,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Medium,42490,Travel Frequently,Yes,No,Male
Human Resources,Manager,46-60,Very High,140260,Travel Rarely,Yes,No,Male
Sales,Sales Executive,36-45,High,68930,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,61250,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,18-25,Medium,36690,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,100080,Travel Rarely,Yes,Yes,Female
Research & Development,Laboratory Technician,36-45,Low,23870,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Medium,46390,Travel Frequently,No,No,Female
Research & Development,Manufacturing Director,46-60,High,78980,Travel Rarely,No,No,Male
Sales,Sales Representative,26-35,Low,25340,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,46-60,Very High,131420,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,18-25,Low,16110,Non-Travel,No,No,Female
Research & Development,Laboratory Technician,26-35,High,53630,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,High,50710,Travel Frequently,No,No,Male
Sales,Sales Executive,46-60,Very High,136950,Travel Rarely,Yes,Yes,Male
Research & Development,Manufacturing Director,46-60,Very High,134020,Travel Rarely,Yes,No,Male
Research & Development,Research Scientist,26-35,Low,20290,Non-Travel,No,No,Female
Research & Development,Healthcare Representative,36-45,High,63770,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,High,54290,Travel Rarely,No,No,Male
Sales,Sales Representative,26-35,Low,27850,Travel Frequently,No,Yes,Female
Sales,Sales Executive,26-35,Medium,46140,Travel Frequently,Yes,Yes,Female
Research & Development,Research Scientist,36-45,Low,26100,Travel Frequently,No,No,Male
Research & Development,Healthcare Representative,26-35,High,66870,Travel Rarely,No,No,Female
Sales,Sales Executive,26-35,Medium,47240,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,26-35,High,61790,Travel Rarely,Yes,Yes,Male
Sales,Sales Executive,36-45,High,61200,Travel Rarely,Yes,No,Male
Sales,Sales Executive,46-60,Very High,105960,Travel Frequently,No,No,Male
Research & Development,Research Scientist,36-45,High,54670,Travel Frequently,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,29960,Travel Rarely,Yes,No,Male
Sales,Sales Executive,26-35,Very High,99980,Travel Frequently,No,No,Male
Sales,Sales Executive,26-35,Medium,40780,Travel Rarely,Yes,No,Male
Research & Development,Healthcare Representative,36-45,Very High,109200,Non-Travel,No,No,Male
Sales,Sales Executive,18-25,High,62320,Travel Rarely,No,No,Male
Research & Development,Manufacturing Director,46-60,Very High,132470,Travel Frequently,Yes,No,Female
Research & Development,Research Scientist,36-45,Medium,40810,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,High,57690,Travel Rarely,Yes,No,Female
Research & Development,Research Scientist,26-35,Low,23940,Travel Rarely,Yes,Yes,Female
Research & Development,Research Scientist,26-35,Medium,39040,Travel Rarely,No,No,Male
Human Resources,Manager,36-45,Very High,167990,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,46-60,Medium,29500,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,36-45,Medium,36290,Travel Rarely,No,No,Female
Research & Development,Manufacturing Director,26-35,Very High,93620,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,32290,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,35780,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,High,79880,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,46-60,Medium,42840,Travel Frequently,No,Yes,Male
Research & Development,Healthcare Representative,26-35,High,75530,Travel Frequently,Yes,Yes,Female
Research & Development,Research Director,46-60,Very High,173280,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,197010,Travel Rarely,Yes,No,Female
Research & Development,Research Director,46-60,Very High,147320,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,Very High,92780,Travel Rarely,Yes,No,Female
Sales,Sales Representative,26-35,Low,13590,Travel Frequently,No,Yes,Female
Sales,Sales Executive,26-35,Medium,47790,Travel Rarely,No,No,Female
Research & Development,Research Director,26-35,Very High,164220,Travel Rarely,No,No,Female
Research & Development,Research Scientist,26-35,Medium,29960,Travel Frequently,No,No,Male
Research & Development,Research Scientist,26-35,Low,12610,Travel Rarely,No,Yes,Female
Research & Development,Laboratory Technician,26-35,Low,20990,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,High,58100,Travel Rarely,No,No,Male
Sales,Sales Executive,36-45,High,56470,Travel Rarely,No,No,Female
Research & Development,Research Scientist,46-60,Medium,34200,Travel Rarely,No,No,Male
Sales,Sales Representative,18-25,Medium,44000,Travel Rarely,No,Yes,Male
Research & Development,Laboratory Technician,36-45,Medium,35000,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,Low,20660,Travel Rarely,No,No,Female
Research & Development,Research Director,46-60,Very High,171690,Travel Rarely,No,No,Female
Sales,Sales Executive,18-25,Medium,41620,Travel Rarely,Yes,No,Female
Sales,Sales Executive,26-35,Very High,92040,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,26-35,Medium,32940,Travel Rarely,No,No,Female
Research & Development,Research Scientist,36-45,Low,21270,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,36-45,Medium,39750,Non-Travel,No,No,Male
Sales,Sales Executive,26-35,Very High,107930,Travel Rarely,No,No,Male
Sales,Sales Executive,46-60,Very High,100960,Travel Rarely,No,Yes,Male
Research & Development,Laboratory Technician,36-45,Medium,36460,Non-Travel,Yes,Yes,Female
Research & Development,Manufacturing Director,26-35,High,74460,Travel Frequently,No,Yes,Female
Research & Development,Healthcare Representative,36-45,Very High,108510,Travel Rarely,Yes,No,Male
Human Resources,Human Resources,26-35,Low,21090,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,37220,Travel Frequently,Yes,Yes,Male
Research & Development,Manufacturing Director,36-45,Very High,93800,Travel Rarely,Yes,No,Male
Sales,Sales Executive,46-60,High,54860,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,Low,27420,Travel Rarely,No,Yes,Female
Research & Development,Research Director,36-45,Very High,137570,Non-Travel,No,No,Male
Sales,Sales Executive,26-35,Very High,84630,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,31620,Non-Travel,No,No,Male
Research & Development,Research Director,46-60,Very High,165980,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,High,66510,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Low,23450,Travel Rarely,No,No,Male
Research & Development,Research Scientist,36-45,Medium,34200,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,43730,Travel Frequently,No,No,Male
Sales,Sales Executive,26-35,Medium,47590,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,High,53010,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,36-45,Medium,36730,Travel Frequently,No,No,Female
Sales,Sales Executive,36-45,Medium,47680,Travel Frequently,No,No,Female
Research & Development,Research Scientist,26-35,Low,12740,Non-Travel,No,No,Male
Research & Development,Research Scientist,46-60,Medium,49000,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Very High,104660,Travel Rarely,No,No,Male
Research & Development,Research Director,26-35,Very High,170070,Travel Frequently,No,No,Male
Sales,Sales Representative,26-35,Low,29090,Travel Frequently,No,Yes,Male
Sales,Sales Executive,26-35,High,57650,Travel Frequently,No,Yes,Female
Sales,Sales Executive,26-35,Medium,45990,Travel Rarely,Yes,Yes,Female
Sales,Sales Representative,26-35,Low,24040,Travel Rarely,No,No,Male
Research & Development,Laboratory Technician,18-25,Medium,31720,Travel Frequently,Yes,Yes,Male
Sales,Sales Representative,18-25,Low,20330,Non-Travel,No,No,Female
Research & Development,Manufacturing Director,36-45,Very High,102090,Travel Frequently,Yes,No,Male
Sales,Sales Executive,26-35,Very High,86200,Travel Rarely,No,No,Male
Human Resources,Human Resources,26-35,Low,20640,Travel Rarely,No,No,Male
Research & Development,Healthcare Representative,46-60,Medium,40350,Travel Rarely,Yes,No,Male
Research & Development,Laboratory Technician,26-35,Medium,38380,Travel Rarely,No,No,Female
Sales,Sales Executive,46-60,Medium,45910,Travel Rarely,Yes,No,Female
Research & Development,Laboratory Technician,26-35,Low,25610,Travel Frequently,No,Yes,Male
Research & Development,Research Scientist,26-35,Low,15630,Travel Rarely,No,No,Male
Sales,Sales Executive,26-35,Medium,48980,Travel Frequently,No,No,Male
Research & Development,Laboratory Technician,46-60,Medium,47890,Travel Rarely,No,No,Female
Research & Development,Laboratory Technician,26-35,Medium,31800,Travel Frequently,No,No,Female
